EmpID,EmpName,Date,CheckIn_Time,CheckOut_Time,LeaveType,ApprovalStatus,Final_Status
EMP001,Nguyen Van Alpha,2026-03-01,08:25,17:35,,,[OK] Ngày công chuẩn
EMP002,Tran Thi Beta,2026-03-01,08:30,17:40,,,[OK] Ngày công chuẩn
EMP003,Le Van Gamma,2026-03-01,08:45,17:30,,,[Late] Đi trễ (Vào lúc 08:45)
EMP004,Hoang Thi Delta,2026-03-01,,17:30,,,[Missing Punch] Thiếu dữ liệu thẻ (Cần giải trình)
EMP005,Vu Van Epsilon,2026-03-01,08:15,,,,[Missing Punch] Thiếu dữ liệu thẻ (Cần giải trình)
EMP001,Nguyen Van Alpha,2026-03-02,08:20,17:45,,,[OK] Ngày công chuẩn
EMP002,Tran Thi Beta,2026-03-02,08:25,17:35,,,[OK] Ngày công chuẩn
EMP003,Le Van Gamma,2026-03-02,08:30,17:30,,,[OK] Ngày công chuẩn
EMP004,Hoang Thi Delta,2026-03-02,,,Sick Leave,Approved,[Paid Leave] Nghỉ có phép (Sick Leave)
EMP005,Vu Van Epsilon,2026-03-02,10:00,17:30,,,[Late] Đi trễ (Vào lúc 10:00)
EMP001,Nguyen Van Alpha,2026-03-03,08:10,18:00,,,[OK] Ngày công chuẩn
EMP002,Tran Thi Beta,2026-03-03,08:50,17:30,,,[Late] Đi trễ (Vào lúc 08:50)
EMP003,Le Van Gamma,2026-03-03,,,Annual Leave,Approved,[Paid Leave] Nghỉ có phép (Annual Leave)
EMP004,Hoang Thi Delta,2026-03-03,,,Sick Leave,Approved,[Paid Leave] Nghỉ có phép (Sick Leave)
EMP005,Vu Van Epsilon,2026-03-03,08:25,17:35,,,[OK] Ngày công chuẩn
EMP001,Nguyen Van Alpha,2026-03-04,08:22,17:33,,,[OK] Ngày công chuẩn
EMP002,Tran Thi Beta,2026-03-04,08:15,17:40,,,[OK] Ngày công chuẩn
EMP003,Le Van Gamma,2026-03-04,08:20,17:30,,,[OK] Ngày công chuẩn
EMP004,Hoang Thi Delta,2026-03-04,08:25,17:45,,,[OK] Ngày công chuẩn
EMP005,Vu Van Epsilon,2026-03-04,,,Unpaid Leave,Pending,[Unpaid Leave] Nghỉ không phép (Không ghi nhận thẻ)
EMP001,Nguyen Van Alpha,2026-03-05,,,Annual Leave,Approved,[Paid Leave] Nghỉ có phép (Annual Leave)
EMP002,Tran Thi Beta,2026-03-05,08:10,17:30,,,[OK] Ngày công chuẩn
EMP003,Le Van Gamma,2026-03-05,08:25,17:35,,,[OK] Ngày công chuẩn
EMP004,Hoang Thi Delta,2026-03-05,08:20,17:40,,,[OK] Ngày công chuẩn
EMP005,Vu Van Epsilon,2026-03-05,08:15,17:30,,,[OK] Ngày công chuẩn
